Predictions vs Actual: 

    Prediction:         Actual:
             305.96     346
            757.056     769
            175.548     202
            415.908     640
            278.312     234
            191.796     200
              8.344     6
            675.508     650
            166.244     132
            109.492     60
             549.86     585
            329.764     294
            601.212     644
            323.352     349
             24.084     40
             18.344     11
            335.416     351
               7.78     2
             99.904     77
            547.772     517
            237.136     136
            129.448     118
            212.768     258
            239.328     243
            197.096     235
             239.26     254
            418.496     541
              4.264     1
             41.048     38
              76.66     67
             115.26     45
    312.2383333333333     322
            297.908     264
            183.676     187
              19.06     16
              97.86     84
            314.672     258
              38.48     16
            167.452     195
             240.78     271
              4.384     3
            115.104     78
            264.416     279
             380.74     386
             18.788     17
             53.924     20
            180.364     272
              210.8     222
             32.724     20
              99.96     12
              14.26     20
              815.4     812
             28.636     24
            246.332     242
             404.64     433
            107.956     64
            288.344     285
            214.492     221
              85.52     117
            107.136     182
            192.604     199
            142.184     193
            688.832     737
             81.288     26
            149.352     178
            169.444     143
    111.64933333333333     88
               8.56     4
            619.772     654
            194.736     233
              9.484     8
            323.784     194
             50.612     71
             80.668     132
            365.116     369
            617.008     643
            153.244     175
            120.664     148
              148.8     106
             90.852     110
             224.62     64
            226.744     312
            168.364     50
             79.692     39
              339.2     258
             20.264     21
            434.492     457
            625.428     660
             178.86     209
             209.72     62
              8.036     12
             59.592     64
             25.548     27
             105.88     117
             348.54     403
            142.228     196
               2.56     4
             34.344     177
              5.876     8
             45.576     114
             41.864     26
            337.644     347
    235.2206666666667     219
             19.468     11
            244.944     237
            287.316     317
              46.42     33
             458.92     496
            324.964     294
             246.08     273
             73.564     100
            446.672     399
             111.28     122
            464.836     495
             31.896     17
            550.944     585
            132.148     72
            578.372     625
              2.608     2
             27.492     28
             20.208     28
            291.524     520
             511.02     411
             88.964     92
            114.776     87
            322.312     291
              444.0     495
            261.844     312
            464.144     491
             42.756     42
            264.632     241
               7.94     3
            216.988     249
             90.404     94
             57.168     55
               75.1     53
            192.176     162
             81.952     55
             333.54     404
             215.16     235
            147.304     300
             63.028     32
             34.252     10
              178.5     240
            105.036     95
             43.396     23
            102.528     76
             637.88     698
            260.088     238
            265.936     185
             18.256     19
              5.984     3
             16.152     12
              8.192     6
             267.54     252
            333.828     353
             45.936     13
            485.492     408
            226.068     364
             11.736     13
             47.548     10
            117.152     107
            154.436     156
             432.82     455
            291.464     269
             255.52     238
            202.964     206
              9.796     5
              7.556     5
             86.184     74
            147.712     142
             26.744     20
              72.86     93
             158.46     154
              6.832     6
             10.952     6
            128.144     154
             39.356     37
             17.624     6
            177.832     283
             70.396     63
              74.44     53
            157.212     107
            245.424     271
            102.712     149
             79.996     75
             46.208     45
            110.172     134
            666.296     647
              8.152     8
            238.436     195
            177.652     43
            144.516     201
             93.712     70
    113.44133333333333     117
            292.084     244
            142.048     129
             21.648     29
            526.584     542
            180.976     197
             355.12     359
            226.104     213
            213.212     211
             73.144     64
             89.892     47
            533.436     614
             58.668     90
            416.764     492
            225.448     244
            172.184     223
             47.776     108
             54.008     58
            291.372     335
            212.668     231
             58.176     67
                4.2     2
              5.316     3
            190.584     151
               23.8     13
            283.236     298
            187.608     119
            179.916     106
            380.688     431
            341.748     419
             36.484     31
            267.568     289
             379.44     369
            229.484     178
            148.844     113
            305.428     306
            453.808     405
             42.656     9
             23.276     17
            489.836     497
            301.972     250
              855.7     877
    5.847666666666666     2
            194.016     195
            364.952     384
              41.62     31
              3.728     4
            234.832     220
            172.512     145
             328.76     348
            149.488     125
            124.328     151
            214.284     279
               15.7     21
             21.916     28
             385.32     627
              4.824     4
            266.892     226
             61.852     60
             327.28     275
             16.744     4
             80.796     90
            343.468     258
             66.184     53
             92.812     91
             238.66     201
              6.818     4
            317.764     276
            319.152     306
             23.232     23
            210.972     122
            448.592     415
             100.28     94
            181.852     161
             77.152     31
             246.76     200
             62.116     45
            269.172     268
            101.596     95
            172.272     145
              94.52     146
            286.316     289
             195.84     223
            103.596     106
            147.432     141
            222.624     314
            231.964     240
            503.252     626
            168.188     184
            447.796     407
             20.304     8
             80.972     76
             39.892     31
               23.1     11
            183.908     238
            299.552     226
            308.672     357
            182.104     143
            127.528     176
              9.188     15
               5.76     6
            189.532     205
            771.104     801
             51.384     46
            111.264     72
            128.656     145
            228.576     225
            815.176     827
              8.428     5
            249.716     274
             92.956     105
               93.3     85
            131.808     60
             173.76     205
            166.344     193
               74.5     46
             32.644     43
            426.812     354
            341.512     343
            159.824     68
             12.188     3
            248.068     215
             36.052     36
            215.396     134
              35.04     29
            122.188     70
            188.196     132
            286.564     315
            435.204     469
             286.14     302
            178.976     69
            213.604     182
            323.144     303
            126.436     87
             57.656     59
              5.872     7
            166.524     216
            298.076     291
            525.972     565
            215.204     202
             568.14     595
            309.508     460
            611.752     619
            129.764     81
             549.48     327
              118.6     72
             46.368     36
             84.832     45
             198.24     256
            199.556     184
             29.572     22
             20.348     31
            113.696     111
             102.12     43
             199.92     172
              94.62     96
             37.584     34
              6.912     5
            309.124     290
            303.556     249
            122.028     127
               4.94     5
            179.356     83
               11.0     6
             109.98     80
            102.476     92
            247.492     310
              60.18     6
             71.048     44
            343.636     540
            178.532     170
             27.576     35
            117.916     145
             76.336     54
              8.216     7
            110.036     110
              4.052     3
              395.6     420
            132.968     157
            436.568     209
            527.388     562
             44.284     26
            366.148     402
            332.796     364
             154.32     128
             11.184     4
              3.072     2
    9.784666666666666     10
            200.632     220
    316.0706666666666     112
             192.38     241
              5.772     3
            325.096     299
             10.696     1
            158.048     204
            264.148     312
             22.304     33
             63.456     29
             494.78     638
            182.412     150
              6.776     3
             151.12     145
             24.732     30
            210.004     249
            474.312     442
             327.62     334
            325.512     294
            105.176     110
            185.528     209
            629.156     779
             21.992     23
            279.452     206
            268.048     273
             58.876     44
            367.768     391
             74.748     11
            102.972     104
             11.616     14
              43.44     36
              4.024     6
             46.456     10
              182.0     198
             222.34     108
            282.016     318
            609.056     637
             78.244     83
             34.584     26
            129.072     131
            245.508     175
            249.136     285
             60.496     51
             48.704     7
            106.496     88
             32.442     34
            383.436     402
            108.732     55
              4.584     4
             42.036     38
            330.448     407
            465.728     425
            341.172     360
            157.316     134
             40.048     21
             10.812     18
            122.916     97
            408.828     382
    17.253333333333337     20
             457.42     489
            370.636     358
            361.376     336
            124.028     109
             57.508     33
              16.88     28
             54.236     76
               58.1     37
            116.572     94
            328.924     340
             15.644     26
            109.968     123
              3.728     3
            255.492     126
            243.984     288
            332.716     344
             59.356     89
            153.048     148
              9.788     11
             43.092     17
            101.516     79
            825.496     867
             12.712     20
             81.916     77
             76.668     101
             12.916     9
            264.152     281
            110.232     91
             59.324     59
             48.884     44
            168.036     127
             205.12     202
    304.3756666666667     332
             10.672     10
              5.428     6
            399.292     462
              7.312     7
            481.568     521
               6.74     2
            331.896     374
            168.396     174
             24.344     11
            175.068     295
            147.952     146
    5.949333333333334     4
            158.608     114
             58.696     60
              6.492     4
            318.812     239
             46.548     7
            388.936     353
            153.384     173
             17.164     28
             47.352     51
             23.812     20
             95.276     93
               8.16     4
            316.344     349
             139.66     159
            401.728     616
            254.784     237
            362.904     402
            463.752     492
            165.308     180
              7.248     4
            132.596     154
            190.676     85
            279.392     274
            466.772     432
            759.976     705
            223.212     250
             285.94     351
            558.688     557
            309.112     274
             170.78     84
             20.676     25
              335.1     435
            285.184     321
            445.908     358
             76.036     64
            318.496     172
            192.572     265
            252.888     292
            169.208     329
              74.32     78
            183.484     190
              5.788     7
            284.416     267
            750.428     733
             81.808     39
             360.44     341
            126.296     110
            412.332     411
             43.528     50
            225.516     224
            519.448     529
             332.04     282
             24.348     21
            135.496     121
            241.456     185
            333.868     282
            160.412     114
            389.808     576
              36.52     29
            178.728     175
              31.72     30
             132.86     144
             177.38     161
             13.136     1
             25.184     24
            196.844     275
               7.06     8
            296.152     222
            263.652     288
              53.76     43
            113.368     168
             16.124     5
            235.268     241
             47.764     26
             98.068     63
             42.208     27
            395.896     404
             23.288     9
             203.94     267
            433.972     509
             696.34     717
            144.168     384
             473.66     366
             16.536     8
             31.448     49
            491.684     612
            208.408     222
            133.404     91
              6.248     2
             46.716     5
             11.916     10
            116.572     136
             55.792     64
            157.376     198
             14.176     27
            569.672     776
            296.132     267
             21.572     19
             360.02     328
             19.336     9
              1.852     1
            360.064     401
             64.272     70
            691.972     783
             439.92     402
             21.868     22
              336.6     375
             14.652     3
            101.116     118
             94.024     69
             66.156     87
              9.044     13
             17.132     66
            317.558     402
            336.368     374
            350.648     420
             99.112     86
            187.136     177
              9.648     2
            128.004     92
            169.324     171
             321.62     363
            223.248     222
            156.588     145
             430.34     482
             173.62     155
            187.128     133
             16.976     5
            396.776     367
              348.8     342
             616.36     626
             374.94     386
             49.192     33
            288.344     584
            153.948     161
             17.456     17
             341.92     338
            338.384     414
            274.748     376
               3.32     5
             857.56     825
             65.044     47
            437.796     470
            420.944     493
            454.076     466
             29.424     25
              11.86     3
            376.204     407
             226.44     237
            385.852     455
              2.564     1
             43.288     29
              3.524     2
            451.408     425
            307.644     267
    289.70640000000003     269
            132.476     170
             94.664     52
              1.796     2
            298.912     309
            108.596     131
             10.184     5
            597.268     644
            164.492     173
            262.848     231
             95.724     46
            534.356     522
            208.088     243
              5.012     4
             192.54     217
            162.828     184
            778.188     790
             103.56     97
            167.452     199
            106.056     133
               7.84     2
            364.728     444
            214.596     189
            157.196     134
              15.58     8
            100.304     129
            246.156     206
              179.4     142
             63.476     66
            164.496     146
              5.224     11
             151.38     154
            204.128     167
             26.908     33
            305.168     284
             72.604     25
            449.288     306
              1.572     2
             159.84     234
             19.016     22
            272.396     252
             10.816     7
              19.56     25
              9.908     4
              83.74     43
              7.784     8
            562.492     332
            765.864     838
            247.788     254
             451.88     263
            350.152     348
             30.992     19
              11.46     2
            102.076     108
            424.548     288
             38.124     21
            269.472     232
            153.324     206
             82.868     41
             315.18     319
            291.244     289
              9.996     8
             65.512     81
             60.548     65
             29.296     24
            107.168     64
             10.076     4
    211.2387333333333     198
            321.044     275
            234.772     291
              5.516     4
             394.24     501
            218.224     196
            124.228     64
            197.668     217
            512.072     516
             460.64     441
              6.756     5
             10.524     4
            265.264     304
             33.044     33
             24.388     22
            238.008     235
            514.928     567
            328.548     389
            199.372     131
             293.16     299
            345.308     381
            204.972     229
            204.932     282
            155.424     144
             23.696     7
             254.86     296
            289.964     243
            302.228     391
             70.432     84
             387.12     355
            397.016     397
            430.656     421
            333.384     328
            195.532     171
             23.608     8
             11.968     4
             33.888     24
            105.636     111
            529.876     678
            184.096     175
            101.524     99
            191.348     188
              200.6     128
            118.628     118
             38.964     59
               5.56     4
             12.528     10
            144.908     97
            181.692     203
            635.756     484
              8.156     10
            528.788     505
            107.256     20
            336.432     287
            281.428     283
              6.224     7
              104.3     140
             24.024     27
            241.532     239
             133.12     102
             27.188     20
    4.368666666666667     10
             166.12     172
              6.584     7
              92.86     68
             40.132     21
            371.168     384
             97.268     53
             339.56     306
            238.796     298
            393.972     374
             92.636     51
            117.728     116
            303.928     205
             19.952     31
            179.436     171
              467.4     470
              25.68     27
             71.164     69
            117.816     87
             122.62     118
             93.224     80
             35.324     30
             96.408     169
             98.576     132
            307.172     360
            167.572     171
             59.144     4
            160.692     176
             148.96     129
            135.056     62
              481.6     527
              368.4     328
             572.38     475
             44.244     25
            317.716     304
             86.172     94
            195.212     166
            112.988     121
             276.74     276
             666.42     508
              10.64     13
             79.516     90
            260.168     337
              8.212     10
               6.44     4
            257.368     285
              7.148     6
            189.976     235
            115.436     58
             304.64     201
            360.568     171
            214.932     226
             390.44     336
            149.124     90
            324.064     348
            305.508     329
            540.512     597
              74.04     85
             288.62     70
            474.004     617
              59.66     45
            100.548     90
             226.12     126
            234.476     374
             109.76     121
            202.272     274
              451.2     540
            142.924     42
              378.4     402
            206.996     230
              41.94     59
             53.468     31
            740.736     683
            131.112     144
            154.544     154
            652.644     760
            311.096     304
            212.964     174
              177.4     160
            183.208     193
             55.828     66
            232.184     208
            303.628     323
             94.196     83
              27.78     26
            454.056     506
             107.42     113
            583.804     649
            801.916     741
             95.416     117
              2.056     2
              74.48     91
             105.18     144
              130.4     109
            148.492     136
            105.116     119
             130.98     132
            112.744     51
              7.772     9
             99.788     30
             220.34     224
             120.78     84
              6.964     11
            426.424     423
            122.084     150
             10.792     6
             11.992     16
            222.876     209
            151.568     144
            203.784     130
            412.168     380
             74.272     68
            129.576     167
            214.872     37
             46.368     37
               4.94     3
            189.508     105
            139.004     227
             440.72     307
            299.448     343
             28.604     41
             20.296     2
             12.808     3
            433.092     470
              5.296     3
             14.476     17
              5.728     6
            405.728     433
            696.924     607
            363.208     439
             13.384     13
            431.724     476
            465.956     376
             75.584     92
             469.66     578
            136.948     55
            129.292     29
             96.248     97
            195.596     203
             40.644     33
            324.692     306
            201.556     269
             85.296     20
              23.64     21
            121.244     46
             75.812     79
            285.788     309
              184.9     281
            167.428     83
            403.304     442
              90.88     101
             68.744     45
            327.836     288
            538.988     582
             13.396     6
            145.696     153
            104.916     105
             240.38     240
            344.144     358
            214.188     243
            194.592     171
            187.476     268
             48.256     49
              29.58     22
            119.332     42
            121.248     149
              6.808     3
            197.892     219
             30.704     33
             54.948     37
            407.944     523
            203.672     289
            123.304     155
             69.244     75
             41.604     41
             54.212     31
            146.268     117
            107.716     104
             30.908     23
             46.908     44
             23.604     27
             126.62     108
            155.328     74
             616.24     662
            214.668     76
             82.824     70
             84.056     67
             48.904     101
            330.896     408
            449.452     339
            112.168     112
            465.448     480
              8.332     6
            232.212     270
              3.056     2
            497.224     479
            146.748     141
             33.596     7
            108.464     108
             18.228     31
            316.856     349
             62.228     41
            236.746     281
            337.356     195
            515.352     564
            193.752     156
            176.904     185
             374.52     397
            258.672     304
             14.348     9
                9.1     12
            128.292     213
            164.376     129
                3.0     1
             305.92     262
            498.964     351
            406.692     361
             40.816     28
             160.64     226
            314.616     419
               4.86     4
             251.88     234
            398.548     371
             11.068     6
            231.424     260
               66.8     110
            123.128     115
               9.64     6
            108.636     60
            345.248     331
             41.984     26
             87.852     99
             26.844     21
            202.484     202
            112.032     58
            299.632     256
              5.796     2
            166.344     172
             715.38     697
            146.668     152
             340.68     377
             14.176     4
            450.888     399
            132.076     145
             221.34     209
            277.072     262
            251.752     222
              789.1     728
            533.888     723
               9.04     9
             316.84     211
             44.432     17
              58.28     62
            216.416     211
            205.152     252
            111.528     129
              9.436     10
             27.348     5
             22.376     26
              65.28     106
             49.956     22
            649.892     665
            196.236     106
    196.42079999999999     243
             434.46     467
               53.3     43
              52.54     53
            399.644     320
             30.416     33
              1.944     3
             96.212     96
            296.212     273
            159.408     133
            134.744     150
            270.552     224
              6.892     9
            320.716     302
            101.892     119
            120.348     122
             11.148     4
            129.596     74
            178.144     178
              20.04     14
             125.94     110
            392.656     458
            401.796     389
             31.936     12
             290.18     276
            370.832     441
            215.076     185
            154.872     132
            128.228     230
             136.36     122
             10.796     9
             165.12     43
            214.712     249
            440.384     395
            163.308     166
              8.452     11
            158.148     95
              6.092     7
             30.064     38
            195.568     171
            799.604     899
            141.784     132
            469.628     421
            342.448     341
              35.36     20
              5.052     2
              91.76     77
            564.596     571
            538.444     502
              7.664     13
             76.952     71
            142.204     127
            764.464     800
             10.176     11
            126.988     117
            240.924     232
            274.928     267
             22.128     20
            152.096     160
              101.0     104
               36.4     29
             71.044     54
            152.576     138
             38.872     26
            322.416     308
              18.36     10
            123.884     131
             45.808     4
            410.572     390
            461.856     711
             125.46     108
            156.828     173
             56.052     53
    8.274666666666668     1
             52.372     45
            633.284     539
            271.856     280
             11.528     16
            307.456     287
            333.248     420
            131.392     104
             71.892     106
            239.828     221
            100.636     113
              2.872     4
            284.068     87
             301.22     460
             11.056     7
             84.392     82
            129.764     137
              1.856     2
             21.208     14
             17.748     20
               83.0     99
            520.872     522
            118.344     117
             24.148     29
             198.68     204
            369.372     331
            161.864     136
            275.972     312
            433.236     390
            610.992     686
            198.692     120
            176.668     170
             28.476     33
            393.568     372
            124.676     86
            139.036     149
              15.66     14
             50.244     84
             19.188     14
             544.18     512
           198.5544     210
            466.404     514
            308.956     213
            671.784     705
             27.712     14
            228.528     237
            108.712     112
             47.868     37
             68.356     59
              7.444     7
              110.1     118
            215.344     200
            515.976     495
               94.3     78
             57.384     74
            136.592     94
              2.672     4
              34.82     27
              6.112     5
            100.152     81
            178.508     188
              5.436     5
                5.6     2
            119.036     130
            146.764     257
            262.636     248
            249.592     239
             20.536     1
            154.092     138
              720.4     800
            398.532     401
              7.748     7
            437.812     404
            196.216     188
               4.32     2
            412.812     621
             613.22     619
              163.0     182
              2.672     4
             20.348     33
            407.052     395
             28.564     11
             30.176     29
             60.144     73
              5.574     7
            170.128     158
            223.828     189
             90.928     118
              8.068     5
              75.38     75
            275.184     270
            301.684     332
              191.1     113
              74.02     62
            349.788     357
             12.848     8
            170.592     251
            316.096     259
            158.708     147
            542.396     757
            412.184     443
             20.156     14
            781.544     817
            270.844     233
             200.84     214
            230.944     182
            213.528     218
            149.456     152
            369.848     377
             11.072     1
            142.408     179
            435.856     416
              33.58     23
             509.74     507
             397.68     388
             300.46     314
            181.284     188
            286.548     238
            435.684     513
              293.2     317
               6.06     4
            684.464     608
            146.636     147
            184.108     212
            132.076     105
             60.484     41
            276.752     285
              44.84     26
              80.06     112
             24.116     21
             23.844     25
            187.336     174
             99.484     98
             28.624     11
              58.12     36
            104.652     123
             89.104     90
             93.436     122
            102.124     74
            234.312     228
            510.792     598
            144.068     124
            104.924     89
             93.536     9
            477.852     555
            169.008     151
              48.44     35
            165.468     175
             27.116     41
             99.468     118
            724.804     794
            149.404     155
            171.128     151
            195.408     179
            771.412     678
            137.736     178
             67.408     33
            437.328     413
            116.904     85
             107.12     92
             92.696     21
            404.604     353
             12.456     8
            293.656     271
            496.976     522
             94.384     17
             26.928     18
            241.668     254
            240.772     286
            571.736     583
              5.068     2
            212.872     224
            314.652     238
             73.584     78
            165.388     90
            534.472     517
            258.384     292
            263.648     288
             75.276     85
            262.588     281
               33.3     26
              92.06     95
            267.888     275
            292.932     278
             84.404     27
             64.472     47
             39.664     34
            204.964     155
            106.184     76
            206.252     53
            258.264     287
             31.184     23
              99.86     115
             15.336     11
             61.604     82
            397.808     371
            498.848     525
             53.664     45
              246.3     213
            335.924     382
            181.172     165
             138.96     251
              6.916     10
              30.82     36
             54.872     53
             33.096     41
            196.256     184
             23.152     13
            158.656     166
            462.756     475
            158.328     142
              36.22     40
            119.256     146
             76.104     61
             63.092     28
            561.904     482
             18.864     42
            196.916     141
            101.916     78
            125.092     185
              8.488     6
             72.184     36
             285.02     280
              5.512     5
            369.352     401
              634.4     668
             15.504     18
             496.12     551
             41.864     19
            735.416     781
              5.296     5
              3.588     3
            581.664     568
            185.564     174
               38.7     34
              4.408     1
             28.012     12
            195.856     232
            156.736     211
              4.648     5
             421.12     540
              225.8     213
            697.024     657
            301.116     226
            435.504     508
             105.52     114
            119.136     85
             90.376     69
            416.232     479
            142.264     117
            205.956     243
              5.544     5
            205.796     205
            215.416     210
             55.528     52
             374.38     418
              23.72     7
            166.072     179
            386.052     334
             182.44     359
            140.656     185
             121.96     99
            333.504     300
            102.264     64
            213.156     213
              2.184     1
            718.356     766
               15.5     12
             69.684     37
              17.64     17
              4.592     6
              7.244     17
             64.868     57
              544.8     584
            106.868     125
              47.56     28
            512.316     478
             114.98     51
               89.1     72
            168.496     219
            212.536     299
            121.176     133
              276.0     398
              7.052     7
            175.356     168
            152.472     189
             25.976     13
             21.628     5
            292.932     280
             93.656     113
            399.544     396
            272.036     237
            695.316     656
            260.452     274
             27.232     16
            387.516     508
             107.82     99
               6.82     10
              7.612     5
              69.28     40
            426.928     387
            537.936     569
             71.468     55
            268.916     246
             38.344     62
            126.316     143
             184.18     202
            374.472     336
            317.092     323
             48.484     21
            168.584     153
              335.8     390
              30.46     10
             94.496     57
             50.544     33
             191.02     187
             512.74     533
             28.956     16
             54.636     40
            205.704     205
             220.68     258
              153.5     117
            190.428     205
            441.548     446
             439.38     514
            306.768     361
            412.344     367
              58.92     55
              54.26     51
            277.632     261
            410.564     416
             34.904     30
            106.016     116
              8.364     8
            109.588     126
             52.296     38
             46.808     41
             14.252     3
            185.572     203
            362.352     355
            199.664     212
            145.532     144
            272.868     275
            368.236     541
            120.636     105
              23.72     25
             28.976     2
    6.793733333333333     11
            416.684     309
            267.656     330
            162.696     84
             168.36     149
             65.688     36
            145.012     160
               37.1     33
              85.68     88
            107.772     106
             298.06     209
             207.58     217
            468.228     686
             38.524     47
            114.188     14
              170.7     166
            491.828     515
             29.008     20
            165.368     185
              7.596     8
            107.552     117
            334.536     327
            224.732     223
             69.564     11
              6.356     10
             54.668     47
             227.24     198
               5.34     6
             47.712     35
            209.952     235
            202.608     246
            294.856     193
            412.528     302
            261.948     256
             229.58     190
            358.292     325
             111.48     118
            241.508     181
            332.392     330
             142.32     188
            509.664     546
            203.372     241
             29.632     34
              8.372     5
             138.58     49
             286.24     270
            557.028     526
            142.212     149
             44.332     6
            204.508     207
            113.332     123
            166.396     205
              56.58     72
            121.204     142
             57.416     33
            158.376     194
            472.228     538
            149.008     149
            437.072     485
            130.316     143
            121.216     119
             49.532     73
             62.996     64
              60.98     57
              55.12     59
             14.896     5
              5.012     10
             24.432     19
            321.632     224
              105.9     70
             15.264     4
            123.828     122
            104.448     95
            170.784     207
              175.1     225
            399.068     419
            297.368     347
            207.464     212
             73.484     56
             180.38     185
             63.228     46
            197.252     161
            136.024     229
             30.684     2
            603.744     553
            100.728     36
            570.844     641
              8.496     6
            175.008     193
            519.704     690
             68.052     99
              4.192     2
              82.06     103
            550.296     570
            263.376     328
             89.868     98
            147.552     26
             76.828     57
             87.068     86
             97.676     86
            165.416     188
             105.42     177
             283.84     251
             25.832     22
              401.0     407
             15.348     19
            495.468     570
            310.408     325
             44.224     35
            138.492     163
             354.54     287
             216.44     483
            399.468     413
             23.472     18
             149.96     150
            172.152     149
            369.296     361
            362.388     505
            282.976     261
            256.804     222
             86.768     108
            156.236     158
